"project","class","avg_ccn","sum_string_args","sum_number_args"
"Geometry","org.apache.commons.geometry.euclidean.threed.rotation.QuaternionRotation",2.04347826086957,0,14
"Geometry","org.apache.commons.geometry.euclidean.threed.rotation.QuaternionRotationTest",1.58333333333333,0,15
"Geometry","org.apache.commons.geometry.euclidean.threed.rotation.Rotation3D",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.shape.Parallelepiped",1.28571428571429,0,4
"Geometry","org.apache.commons.geometry.euclidean.threed.shape.Parallelepiped$Builder",1,0,4
"Geometry","org.apache.commons.geometry.euclidean.threed.shape.ParallelepipedTest",3,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.shape.Sphere",1.2,0,4
"Geometry","org.apache.commons.geometry.euclidean.threed.shape.Sphere$SphereMeshApproximationBuilder",1.5,0,2
"Geometry","org.apache.commons.geometry.euclidean.threed.shape.Sphere$SphereTreeApproximationBuilder",1.6,0,3
"Geometry","org.apache.commons.geometry.euclidean.threed.shape.SphereTest",3.25,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.SimpleTriangle3D",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.SimpleTriangle3DTest",2,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.SphericalCoordinates",1.66666666666667,1,14
"Geometry","org.apache.commons.geometry.euclidean.threed.SphericalCoordinatesTest",1.33333333333333,0,9
"Geometry","org.apache.commons.geometry.euclidean.threed.Triangle3D",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.Vector3D",1.36842105263158,1,21
"Geometry","org.apache.commons.geometry.euclidean.threed.Vector3D$Unit",1.25,0,7
"Geometry","org.apache.commons.geometry.euclidean.threed.Vector3DTest",4,0,5
"Geometry","org.apache.commons.geometry.euclidean.threed.VertexListConvexPolygon3D",1.5,0,0
"Geometry","org.apache.commons.geometry.euclidean.threed.VertexListConvexPolygon3DTest",2,0,0
"Geometry","org.apache.commons.geometry.euclidean.twod.AffineTransformMatrix2D",1.33333333333333,0,20
"Geometry","org.apache.commons.geometry.euclidean.twod.AffineTransformMatrix2DTest",2,0,3
"Geometry","org.apache.commons.geometry.euclidean.twod.AffineTransformMatrix2DTest$Coordinate2DTest",1,0,2
"Geometry","org.apache.commons.geometry.euclidean.twod.BoundarySource2D",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.twod.BoundarySourceBoundsBuilder2D",4,0,0
"Geometry","org.apache.commons.geometry.euclidean.twod.BoundarySourceBoundsBuilder2DTest",1,0,0
"Geometry","org.apache.commons.geometry.euclidean.twod.BoundarySourceLinecaster2D",1.2,0,0
"Geometry","org.apache.commons.geometry.euclidean.twod.Bounds2D",2.1,0,0
"Geometry","org.apache.commons.geometry.euclidean.twod.Bounds2D$Builder",1.33333333333333,0,0
"Geometry","org.apache.commons.geometry.euclidean.twod.Bounds2DTest",1.4,0,0
"Geometry","org.apache.commons.geometry.euclidean.twod.ConvexArea",1.875,0,0
